iter	Passed	Remaining
212	454	1678
213	455	1673
214	457	1668
215	459	1667
216	460	1663
217	462	1658
218	463	1653
219	465	1649
220	467	1646
221	468	1641
222	469	1636
223	471	1632
224	473	1631
225	475	1630
226	477	1626
227	480	1625
228	482	1622
229	483	1619
230	485	1615
231	487	1612
232	489	1609
233	490	1606
234	492	1602
235	493	1598
236	495	1594
237	496	1590
238	499	1589
239	503	1595
240	505	1592
241	507	1589
242	508	1585
243	510	1581
244	511	1576
245	513	1574
246	515	1570
247	518	1571
248	520	1571
249	523	1569
250	524	1564
251	525	1560
252	526	1555
253	528	1550
254	529	1546
255	532	1546
256	533	1543
257	535	1539
258	536	1535
259	538	1532
260	539	1528
261	541	1524
262	542	1520
263	543	1516
264	546	1516
265	548	1514
266	550	1510
267	551	1506
268	553	1503
269	554	1499
270	555	1495
271	557	1491
272	558	1486
273	559	1483
274	562	1482
275	564	1479
276	565	1476
277	566	1472
278	568	1468
279	569	1464
280	570	1460
281	571	1456
282	573	1452
283	575	1451
284	577	1448
285	578	1445
286	580	1441
287	581	1438
288	584	1437
289	585	1433
290	586	1429
291	588	1426
292	591	1427
293	593	1424
294	594	1420
295	595	1417
296	597	1415
297	599	1412
298	600	1408
299	601	1404
300	605	1407
301	608	1405
302	609	1402
303	611	1399
304	612	1395
305	613	1391
306	615	1388
307	616	1384
308	617	1381
309	619	1379
310	621	1376
311	622	1372
312	623	1369
313	625	1365
314	626	1362
315	627	1359
316	629	1355
317	630	1352
318	631	1348
319	634	1347
320	635	1344
321	637	1341
322	638	1337
323	639	1334
324	640	1330
325	642	1327
326	643	1324
327	644	1320
328	645	1317
329	647	1315
330	649	1312
331	650	1309
332	652	1306
333	653	1303
334	655	1300
335	656	1297
336	657	1294
337	659	1291
338	660	1287
339	662	1286
340	663	1283
341	665	1279
342	666	1276
343	667	1273
344	668	1270
345	670	1267
346	671	1263
347	672	1260
348	674	1257
349	677	1257
350	679	1255
351	680	1252
352	681	1249
353	682	1245
354	683	1242
355	685	1239
356	686	1236
357	687	1233
358	689	1230
359	694	1234
360	696	1232
361	698	1231
362	700	1228
363	701	1225
364	702	1222
365	704	1220
366	707	1220
367	709	1218
368	711	1217
369	713	1214
370	715	1212
371	716	1209
372	718	1207
373	719	1204
374	721	1202
375	723	1200
376	724	1197
377	726	1194
378	727	1191
379	728	1188
380	729	1185
381	730	1182
382	733	1181
383	736	1180
384	738	1180
385	741	1178
386	743	1177
387	744	1174
388	745	1171
389	747	1168
390	748	1165
391	751	1165
392	752	1162
393	753	1159
394	754	1156
395	756	1153
396	757	1150
397	758	1147
398	760	1145
399	761	1142
400	762	1139
401	764	1136
402	765	1134
403	767	1132
404	768	1129
405	769	1126
406	771	1123
407	772	1120
408	773	1117
409	774	1114
410	776	1112
411	777	1109
412	779	1107
413	780	1105
414	782	1102
415	783	1099
416	784	1097
417	786	1094
418	787	1091
419	788	1089
420	789	1086
421	791	1083
422	792	1080
423	794	1079
424	795	1076
425	796	1073
426	798	1070
427	799	1068
428	800	1065
429	801	1063
430	803	1060
431	804	1057
432	805	1055
433	807	1053
434	809	1050
435	810	1048
436	811	1045
437	813	1043
438	814	1040
439	815	1038
440	817	1035
441	818	1033
442	819	1030
443	821	1028
444	822	1026
445	824	1024
446	825	1021
447	827	1019
448	828	1016
449	829	1013
450	830	1011
451	832	1008
452	833	1006
453	834	1003
454	836	1001
